Name,Highway,Highway_Stress,MaxSpeed,MaxSpeed_Stress,Lanes,Lanes_Stress,Stress_Level,Geometry
King Highway,primary,4,32,3,4,4,4,"LINESTRING (-85.5665 42.289433, -85.5663879 42.2893292, -85.5662979 42.2892459, -85.5661179 42.2890791, -85.566094 42.289057)"
West Michigan Avenue,tertiary,1,35,3,5,3,2,"LINESTRING (-85.6269092 42.2801294, -85.626554 42.2802289)"
West Michigan Avenue,tertiary,1,35,3,5,3,2,"LINESTRING (-85.6269092 42.2801294, -85.6275914 42.2799418, -85.6281531 42.2797873)"
West Michigan Avenue,tertiary,1,35,3,5,3,2,"LINESTRING (-85.6335633 42.2782225, -85.6342469 42.2780321, -85.6343478 42.278004, -85.6345521 42.2779471, -85.6347283 42.277898, -85.6349735 42.2778297, -85.6351876 42.27777, -85.6353902 42.2777136, -85.6358942 42.2775732, -85.6361689 42.2774971, -85.636513 42.2774018, -85.6367059 42.2773441, -85.6368667 42.2772917, -85.6370871 42.2772228, -85.6372524 42.277175, -85.6374308 42.2771309, -85.6376114 42.2770948, -85.6377882 42.2770653, -85.6378488 42.2770485)"
West Michigan Avenue,tertiary,1,35,3,5,3,2,"LINESTRING (-85.6335633 42.2782225, -85.6325073 42.2785198, -85.6323925 42.2785521)"
South Park Street,secondary,2,32,3,3,3,3,"LINESTRING (-85.5872041 42.2887262, -85.5872066 42.2888312, -85.5872093 42.2889416, -85.587225 42.2895962, -85.5872261 42.2896415, -85.5872278 42.2897109)"
"['Eldred Street', 'Old Michigan Avenue']",residential,1,32,3,2,2,2,"LINESTRING (-85.6013162 42.2887525, -85.6013125 42.2884047, -85.6013068 42.2876456, -85.601306 42.2875363, -85.6013155 42.2874926, -85.6013408 42.2874516, -85.6013703 42.2874248, -85.6014154 42.2873985, -85.6015741 42.2873416, -85.6017496 42.2872829, -85.6020844 42.2871663, -85.6022847 42.2871003)"
Humphrey Street,tertiary,1,32,3,2,2,2,"LINESTRING (-85.564411 42.303378, -85.56422 42.303213)"
Humphrey Street,tertiary,1,32,3,2,2,2,"LINESTRING (-85.56422 42.303213, -85.564411 42.303378)"
Humphrey Street,tertiary,1,32,3,2,2,2,"LINESTRING (-85.56422 42.303213, -85.5623493 42.3032247, -85.561506 42.30323)"
Humphrey Street,tertiary,1,32,3,2,2,2,"LINESTRING (-85.561506 42.30323, -85.5612191 42.3032303, -85.56055 42.303231, -85.558777 42.303238)"
Humphrey Street,tertiary,1,32,3,2,2,2,"LINESTRING (-85.561506 42.30323, -85.5623493 42.3032247, -85.56422 42.303213)"
Humphrey Street,tertiary,1,32,3,2,2,2,"LINESTRING (-85.558777 42.303238, -85.558065 42.303235)"
Humphrey Street,tertiary,1,32,3,2,2,2,"LINESTRING (-85.558777 42.303238, -85.56055 42.303231, -85.5612191 42.3032303, -85.561506 42.30323)"
